iteration, phys_vars, stats, best_params, tn, fp, fn, tp, BA, AUC, custom,JAC ,Centropy, coeffs, exp_coeffs 
36/46,Phys: flood; pr_cum5; , Stats: min; , C: 100.0,  17396, 5944, 4, 16, 0.7726649528706084, 0.7726649528706084, 0.6718730628261154, 0.0026827632461435278, 9.177553525619384, [6.65249892], [77471.78648862] 
37/46,Phys: flood; pr_cum5; , Stats: max; , C: 1000.0,  16455, 6885, 8, 12, 0.6525064267352185, 0.6525064267352184, 0.5434785107377359, 0.0017378711078928314, 10.635655086095227, [6.61179428], [74381.64343701] 
38/46,Phys: flood; vort; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00072832], [99.92719449] 
39/46,Phys: flood; vort; , Stats: std; , C: 10.0,  17387, 5953, 9, 11, 0.6474721508140531, 0.6474721508140532, 0.5587622270237937, 0.001841620626151013, 9.199155030219027, [7.34930474], [155511.49449856] 
40/46,Phys: flood; vort; , Stats: min; , C: 10.0,  18590, 4750, 13, 7, 0.5732433590402741, 0.5732433590402742, 0.491828968589235, 0.0014675052410901468, 7.349140457721104, [-6.20404491], [0.20212383] 
41/46,Phys: flood; vort; , Stats: max; , C: 10.0,  16439, 6901, 12, 8, 0.5521636675235647, 0.5521636675235647, 0.44856779979779554, 0.0011559023262534315, 10.66651437838043, [4.6242177], [10192.30074348] 
42/46,Phys: flood; air_density; , Stats: mean; , C: 1000.0,  14981, 8359, 4, 16, 0.720929734361611, 0.720929734361611, 0.5469619097737523, 0.0019095357441222102, 12.903813069057652, [6.80089576], [89865.19075844] 
43/46,Phys: flood; air_density; , Stats: std; , C: 100.0,  12299, 11041, 9, 11, 0.5384747215081406, 0.5384747215081406, 0.25178852463385154, 0.0009944851279269505, 17.049758987574677, [-2.45265496], [8.60647843] 
44/46,Phys: flood; air_density; , Stats: min; , C: 1000.0,  14321, 9019, 4, 16, 0.7067909168808912, 0.7067909168808911, 0.5045527831465345, 0.001770107312755836, 13.92216971446935, [7.23549933], [138783.37128662] 
45/46,Phys: flood; air_density; , Stats: max; , C: 1000.0,  13554, 9786, 4, 16, 0.6903598971722364, 0.6903598971722366, 0.44674379410517423, 0.0016316540893330613, 15.105623573606888, [4.69025667], [10888.11230293] 
