iteration, phys_vars, stats, best_params, tn, fp, fn, tp, BA, AUC, custom,JAC ,Centropy, coeffs, exp_coeffs 
10/46,Phys: flood; u; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [0.00029975], [100.02997912] 
11/46,Phys: flood; u; , Stats: std; , C: 0.001,  19875, 3465, 14, 6, 0.5757712082262211, 0.5757712082262211, 0.49521407074966256, 0.001721664275466284, 5.367973893011069, [0.00350211], [100.35082503] 
12/46,Phys: flood; u; , Stats: min; , C: 0.1,  22398, 942, 19, 1, 0.5048200514138818, 0.5048200514138818, 0.28522319249529143, 0.0010395010395010396, 1.4827889943040062, [-0.13847233], [87.06873417] 
13/46,Phys: flood; u; , Stats: max; , C: 0.001,  3243, 20097, 0, 20, 0.5694730077120822, 0.5694730077120822, (0.37181630579665614+0.6440047327223748j), 0.000994184023462743, 31.00895985278627, [0.00313157], [100.31364753] 
14/46,Phys: flood; v; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00024547], [99.97545617] 
15/46,Phys: flood; v; , Stats: std; , C: 0.001,  20472, 2868, 11, 9, 0.663560411311054, 0.6635604113110539, 0.6084167518676531, 0.0031163434903047093, 4.442195124454979, [0.00292307], [100.29273444] 
16/46,Phys: flood; v; , Stats: min; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00230513], [99.76975215] 
17/46,Phys: flood; v; , Stats: max; , C: 0.001,  10290, 13050, 3, 17, 0.6454370179948586, 0.6454370179948585, (0.20090789946546828+0.34798268951613104j), 0.0013006885998469778, 20.14031710993776, [0.00192624], [100.19280966] 
18/46,Phys: flood; u2; , Stats: mean; , C: 0.001,  18584, 4756, 14, 6, 0.548114824335904, 0.5481148243359041, 0.4601334161007007, 0.001256281407035176, 7.359941210020924, [0.00523603], [100.52497588] 
19/46,Phys: flood; u2; , Stats: std; , C: 0.001,  16088, 7252, 10, 10, 0.5946443873179093, 0.5946443873179091, 0.48282979401337983, 0.0013751375137513752, 11.205009028757225, [0.00551229], [100.55275096] 
20/46,Phys: flood; u2; , Stats: min; , C: 0.001,  23090, 250, 20, 0, 0.49464438731790916, 0.49464438731790916, 0.0, 0.0, 0.4166004458502413, [0.00250308], [100.25062108] 
21/46,Phys: flood; u2; , Stats: max; , C: 0.001,  14736, 8604, 7, 13, 0.640681233933162, 0.6406812339331619, 0.4782836682847673, 0.0015074211502782932, 13.286468293394169, [0.00592516], [100.59427498] 
22/46,Phys: flood; v2; , Stats: mean; , C: 0.001,  19189, 4151, 2, 18, 0.8610754070265638, 0.8610754070265638, 0.7933368752454316, 0.004315511867657636, 6.407932043022411, [0.00434154], [100.43509825] 
23/46,Phys: flood; v2; , Stats: std; , C: 0.001,  17103, 6237, 0, 20, 0.866388174807198, 0.866388174807198, 0.7388571068173448, 0.00319642000958926, 9.623470299140568, [0.00475144], [100.47627466] 
24/46,Phys: flood; v2; , Stats: min; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [0.00096134], [100.09618072] 
25/46,Phys: flood; v2; , Stats: max; , C: 0.001,  16736, 6604, 0, 20, 0.8585261353898885, 0.8585261353898885, 0.7196410855299831, 0.0030193236714975845, 10.189738312574043, [0.00471379], [100.47249141] 
26/46,Phys: flood; pr; , Stats: mean; , C: 0.001,  23199, 141, 19, 1, 0.5219794344473008, 0.5219794344473008, 0.2954255549350535, 0.006211180124223602, 0.24687433828162453, [0.0020321], [100.20341688] 
27/46,Phys: flood; pr; , Stats: std; , C: 0.001,  23253, 87, 20, 0, 0.4981362467866324, 0.4981362467866324, 0.0, 0.0, 0.16509721372583652, [0.00184747], [100.18491788] 
28/46,Phys: flood; pr; , Stats: min; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [1.53126529e-05], [100.00153128] 
29/46,Phys: flood; pr; , Stats: max; , C: 0.001,  23331, 9, 20, 0, 0.49980719794344475, 0.49980719794344475, 0.0, 0.0, 0.04474597381354463, [0.00126854], [100.12693477] 
30/46,Phys: flood; pr_cum3; , Stats: mean; , C: 0.001,  18843, 4497, 2, 18, 0.8536632390745502, 0.8536632390745501, 0.7787290117320055, 0.003984945760460483, 6.941797799556424, [0.0035769], [100.35833061] 
31/46,Phys: flood; pr_cum3; , Stats: std; , C: 0.001,  21873, 1467, 16, 4, 0.5685732647814911, 0.568573264781491, 0.4632596630574861, 0.0026899798251513113, 2.2882165229478058, [0.00261371], [100.26171327] 
32/46,Phys: flood; pr_cum3; , Stats: min; , C: 0.001,  22471, 869, 12, 8, 0.6813838903170523, 0.6813838903170522, 0.6318514516824918, 0.008998875140607425, 1.3593518251631942, [0.00302774], [100.30323323] 
33/46,Phys: flood; pr_cum3; , Stats: max; , C: 0.001,  12069, 11271, 0, 20, 0.7585475578406169, 0.758547557840617, 0.2960022084918831, 0.0017713222920910459, 17.390754167326172, [0.00396011], [100.39679578] 
34/46,Phys: flood; pr_cum5; , Stats: mean; , C: 0.001,  11697, 11643, 0, 20, 0.7505784061696659, 0.7505784061696659, 0.12019774626764325, 0.001714824659178599, 17.964737003830948, [0.0043324], [100.43417995] 
35/46,Phys: flood; pr_cum5; , Stats: std; , C: 0.001,  18873, 4467, 8, 12, 0.7043059125964011, 0.7043059125964011, 0.6389276964244804, 0.002674392689993314, 6.90476664881418, [0.00298429], [100.2988749] 
36/46,Phys: flood; pr_cum5; , Stats: min; , C: 0.001,  21370, 1970, 8, 12, 0.7577977720651242, 0.7577977720651242, 0.7229947620067023, 0.006030150753768844, 3.0519840070065807, [0.00319541], [100.32005188] 
37/46,Phys: flood; pr_cum5; , Stats: max; , C: 0.001,  5982, 17358, 0, 20, 0.6281491002570694, 0.6281491002570694, (0.33699270183961444+0.5836884813661218j), 0.0011508804235239958, 26.782779774327715, [0.00490909], [100.49211583] 
38/46,Phys: flood; vort; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00072832], [99.92719449] 
39/46,Phys: flood; vort; , Stats: std; , C: 0.001,  21347, 1993, 19, 1, 0.4823050556983719, 0.4823050556983719, 0.271427534139972, 0.0004967709885742673, 3.104444803891426, [0.00276069], [100.27645051] 
40/46,Phys: flood; vort; , Stats: min; , C: 0.1,  23258, 82, 20, 0, 0.4982433590402742, 0.4982433590402742, 0.0, 0.0, 0.15738239065453574, [-0.15778984], [85.4029242] 
41/46,Phys: flood; vort; , Stats: max; , C: 0.001,  18204, 5136, 15, 5, 0.5149742930591259, 0.5149742930591259, 0.4161768744720138, 0.000969743987587277, 7.947810728054042, [0.00256541], [100.25687072] 
42/46,Phys: flood; air_density; , Stats: mean; , C: 0.001,  82, 23258, 0, 20, 0.5017566409597258, 0.5017566409597258, (0.3963816954250282+0.6865532356664407j), 0.0008591803419537761, 35.88627099846261, [0.00438498], [100.43946075] 
43/46,Phys: flood; air_density; , Stats: std; , C: 0.1,  23331, 9, 20, 0, 0.49980719794344475, 0.49980719794344475, 0.0, 0.0, 0.04474597381354462, [-0.09585395], [90.85967045] 
44/46,Phys: flood; air_density; , Stats: min; , C: 0.001,  54, 23286, 0, 20, 0.5011568123393316, 0.5011568123393316, (0.39654255408660566+0.6868318510411303j), 0.0008581481163648846, 35.929474007661895, [0.00321344], [100.32186126] 
45/46,Phys: flood; air_density; , Stats: max; , C: 0.001,  717, 22623, 0, 20, 0.5153598971722365, 0.5153598971722365, (0.3924891194904502+0.6798110963754317j), 0.0008832751843836947, 34.90648846840741, [0.00257918], [100.25825061] 
